user_id,username,email,age,subscription,city,region,product_category,sale_amount,price,store_id,status,raw_timestamp,transaction_date
U1194,ritik_40,ritik.joni3@outlook.com,18,Premium,Mullana,West,Beauty,1643.29,1643.29,STR_3,Active,2026-05-13 06:23:34,2026-05-13
U1207,arjun_26,arjun.verma9@hotmail.com,16,Premium,Mumbai,West,Books,1773.38,1773.38,STR_5,Inactive,2026-05-05 01:53:33,2026-05-05
U1033,ananya_20,ananya.gupta8@gmail.com,34,Premium,Ambala,West,Books,714.57,714.57,STR_1,Pending,2026-05-30 21:32:47,2026-05-30
U1164,alice_90,alice.mishra1@yahoo.com,44,Premium,Delhi,North,Books,321.74,321.74,STR_3,Active,2026-05-23 00:21:21,2026-05-23
U1160,sneha_91,sneha.johnson8@gmail.com,35,Free,Mumbai,West,Clothing,201.58,201.58,STR_2,Pending,2026-03-22 11:38:41,2026-03-22
U1086,karan_96,karan.das9@outlook.com,43,Basic,Bangalore,South,Beauty,1504.79,1504.79,STR_1,Active,2026-05-08 07:03:38,2026-05-08
U1213,alice_90,alice.brown5@yahoo.com,17,Basic,Delhi,North,Home,1221.01,1221.01,STR_2,Active,2026-02-25 13:57:38,2026-02-25
U1081,john_95,john.joshi4@outlook.com,40,Premium,Mullana,West,Books,1265.43,1265.43,STR_3,Active,2026-01-24 09:00:22,2026-01-24
U1180,kabir_65,kabir.verma6@hotmail.com,41,Free,Mullana,West,Clothing,1823.17,1823.17,STR_1,Active,2026-03-31 11:54:54,2026-03-31
U1039,diya_85,diya.brown4@gmail.com,42,Premium,Mumbai,West,Home,63.56,63.56,STR_3,Pending,2026-04-08 01:59:51,2026-04-08
U1116,sophia_79,sophia.mehta8@example.com,29,Free,Bangalore,South,Beauty,1253.01,1253.01,STR_3,Pending,2026-03-07 04:20:42,2026-03-07
U1145,ritik_51,ritik.nair3@example.com,46,Basic,Delhi,North,Electronics,1030.3,1030.3,STR_5,Active,2026-04-28 10:06:03,2026-04-28
U1072,arjun_16,arjun.kumar2@example.com,65,Basic,Mullana,West,Home,1738.82,1738.82,STR_3,Active,2026-01-30 00:31:53,2026-01-30
U1257,clara_77,clara.joshi2@gmail.com,39,Free,Mullana,West,Books,1315.96,1315.96,STR_1,Active,2026-05-13 09:06:07,2026-05-13
U1139,ritik_72,ritik.joshi2@example.com,54,Premium,Ambala,West,Beauty,1039.56,1039.56,STR_3,Inactive,2026-01-17 03:30:29,2026-01-17
U1160,sneha_91,sneha.johnson8@gmail.com,30,Premium,Delhi,North,Electronics,1194.34,1194.34,STR_1,Active,2026-05-30 07:40:22,2026-05-30
U1071,rahul_36,rahul.mehta5@hotmail.com,65,Premium,Bangalore,South,Electronics,1755.67,1755.67,STR_4,Active,2026-03-21 20:28:07,2026-03-21
U1024,kabir_59,kabir.gupta7@hotmail.com,58,Free,Ambala,West,Clothing,71.44,71.44,STR_3,Active,2026-02-03 12:38:54,2026-02-03
U1131,clara_95,clara.nair2@hotmail.com,48,Free,Bangalore,South,Beauty,1270.49,1270.49,STR_4,Pending,2026-02-19 18:51:40,2026-02-19
U1161,ritik_46,ritik.mishra8@example.com,24,Basic,Ambala,West,Beauty,1205.2,1205.2,STR_4,,2026-02-11 06:07:31,2026-02-11
U1240,kabir_92,kabir.brown2@example.com,45,Premium,Ambala,West,Books,363.58,363.58,STR_5,Active,2026-04-07 10:40:58,2026-04-07
U1218,david_32,david.williams2@hotmail.com,22,Basic,Mullana,West,Home,1320.27,1320.27,STR_5,Inactive,2026-04-21 13:48:01,2026-04-21
U1087,ritik_43,ritik.smith3@hotmail.com,18,Premium,Ambala,West,Electronics,567.92,567.92,STR_5,Active,2026-04-10 00:00:14,2026-04-10
U1133,david_87,david.joni2@yahoo.com,38,Premium,Ambala,West,Clothing,1454.07,1454.07,STR_1,Active,2026-01-02 18:19:21,2026-01-02
U1068,karan_95,karan.sharma9@outlook.com,35,Basic,Delhi,North,Clothing,1628.25,1628.25,STR_1,Pending,2026-04-05 17:00:59,2026-04-05
U1296,alice_83,alice.mehta7@hotmail.com,65,Free,Ambala,West,Electronics,1622.09,1622.09,STR_2,Active,2026-03-15 08:31:28,2026-03-15
